,Major,Minor,SalePrice,Address,BuildingNumber,StreetName,ZipCode,Stories,BldgGrade,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,FinBasementGrade,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,HeatSystem,HeatSource,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,FpSingleStory,FpMultiStory,FpFreestanding,FpAdditional,YrBuilt,YrRenovated,Condition,Township,Section,QuarterSection,Area,SubArea,DistrictName,SqFtLot,WaterSystem,SewerSystem,Access,InadequateParking,LotDepthFactor,TrafficNoise,DocumentDate,Date
82343,259772,70,525000,19620   134TH CT SE  98058,19620,134TH                    ,98058,2.0,8,1310,0,1260,0,2570,0,0,0,0,510,N,50,0,0,5,2,4,1,0,2,0,1,0,0,1988,0,3,22,3,NW,51.0,2.0,KING COUNTY,12844,2,2,4,2,0,0,03/22/2019,2019
82378,259780,148,899000,9367   FOREST CT SW  98136,9367 ,FOREST                   ,98136,2.0,9,1070,0,1090,0,2960,940,800,8,0,550,N,100,0,120,5,2,3,1,0,2,1,1,0,0,2002,0,3,24,35,SE,17.0,3.0,SEATTLE,7590,2,2,4,2,0,0,07/13/2019,2019
82383,383250,530,390000,3504  S 263RD ST   98032,3504 ,263RD                    ,98032,1.0,7,1107,0,0,0,2214,1107,1107,7,0,399,Y,0,0,0,5,2,4,1,1,1,0,1,0,1,1962,0,4,22,27,NW,26.0,7.0,KENT,8250,2,2,4,0,0,0,08/01/2019,2019
82410,259768,180,462000,19803   133RD AVE SE  98058,19803,133RD                    ,98058,2.0,8,980,0,780,0,1760,0,0,0,0,510,N,0,0,0,5,2,3,1,1,1,0,1,0,0,1985,0,3,22,3,NW,51.0,2.0,KING COUNTY,7000,2,2,4,2,0,0,06/14/2019,2019
82431,384510,360,515000,2810   57TH ST SE  ,2810 ,57TH                     ,,2.0,9,980,0,1550,0,2530,0,0,0,0,510,N,210,0,0,5,2,4,1,0,2,2,0,0,0,2016,0,3,21,32,SE,87.0,18.0,AUBURN,4955,2,2,4,2,0,0,12/03/2019,2019
82471,384510,20,425000,5437   CHARLOTTE AVE SE  ,5437 ,CHARLOTTE                ,,2.0,8,720,0,1190,0,1910,0,0,0,0,450,N,50,0,0,5,2,3,1,0,2,1,0,0,0,2015,0,3,21,32,SE,87.0,18.0,AUBURN,4318,2,2,4,2,0,0,07/12/2019,2019
82479,384510,370,545000,5712   FRANKLIN AVE SE  ,5712 ,FRANKLIN                 ,,2.0,9,1250,0,1630,0,2880,0,0,0,0,380,N,250,0,0,5,2,4,1,0,3,2,0,0,0,2015,0,3,21,32,SE,87.0,18.0,AUBURN,8704,2,2,4,2,0,0,02/12/2019,2019
82533,259752,300,1110000,6596   151ST PL SE  98006,6596 ,151ST                    ,98006,2.0,10,1700,0,1470,0,3170,0,0,0,0,574, ,80,0,0,5,2,5,1,0,2,1,1,0,0,1988,0,3,24,26,NW,31.0,8.0,BELLEVUE,9600,2,2,4,2,0,0,11/22/2019,2019
82541,385690,3195,955000,2338  N 57TH ST   98103,2338 ,57TH                     ,98103,2.0,7,920,0,600,0,2440,920,920,6,0,0,N,0,0,360,5,2,3,0,2,1,1,0,0,1,1910,0,5,25,8,NW,43.0,5.0,SEATTLE,3000,2,2,4,2,0,0,11/18/2019,2019
82543,385690,4905,985000,337  NE 56TH ST   98105,337  ,56TH                     ,98105,1.0,7,1250,0,0,0,1950,1250,700,7,0,0,Y,50,0,100,5,2,3,0,1,1,0,1,0,1,1960,0,3,25,8,NW,43.0,5.0,SEATTLE,8160,2,2,4,2,0,2,02/01/2019,2019
